file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q3;06:26;50;Andre Williamson;defensive rebound;35;Iberostar Tenerife;5;3;2;;2;;;;1;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;05:05;4;Colton Iverson;defensive rebound;55;Fribourg Olympic;2;3;2;1;2;;;;;2;5;;o;3;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q3;03:27;50;Andre Williamson;defensive rebound;41;Iberostar Tenerife;2;3;2;;2;;1;;1;1;5;;o;0;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;02:54;4;Colton Iverson;defensive rebound;62;Fribourg Olympic;3;3;2;;2;;;;2;1;5;;o;2;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;01:41;9;Nicolas Brussino;defensive rebound;66;Fribourg Olympic;1;3;3;;3;;;;1;1;5;;o;0;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;00:53;31;Pierre-Antoine Gillet;defensive rebound;68;Fribourg Olympic;1;3;2;;3;;;;;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q3;00:00;21;Kevin Madiamba;offensive rebound;45;Iberostar Tenerife;2;4;3;1;3;;;;1;;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;09:10;31;Pierre-Antoine Gillet;offensive rebound;70;Fribourg Olympic;3;2;2;;2;1;1;;1;;5;;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;08:19;12;Thaddus McFadden;offensive rebound;73;Fribourg Olympic;3;4;3;0;3;;;1;1;;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q4;08:10;7;Dusan Mladjan;defensive rebound;51;Iberostar Tenerife;3;3;2;;1;2;1;;;1;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;07:48;21;Tim Abromaitis;offensive rebound;73;Fribourg Olympic;5;4;2;;2;2;;;;1;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q4;07:16;6;Paul Gravet;defensive rebound;53;Iberostar Tenerife;5;3;2;0;2;2;;;;1;5;;o;0;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q4;05:56;21;Tim Abromaitis;defensive rebound;75;Fribourg Olympic;4;5;2;;2;1;;;2;;5;;n;;;;;;
